"Cron Scheduler","Cron Scheduler"
"Cron Jobs","Cron Jobs"
"Cron Jobs List","Cron Jobs List"
"ID","ID"
"Job Code","Job Code"
"Group","Group"
"Instance","Instance"
"Method","Method"
"Schedule","Schedule"
"Modified Schedule","Modified Schedule"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Select Status...","Select Status..."
"Enable","Enable"
"Disable","Disable"
"Delete","Delete"
"Enable Jobs","Enable Jobs"
"Disable Jobs","Disable Jobs"
"Delete Jobs","Delete Jobs"
"Are you sure you want to enable the selected jobs?","Are you sure you want to enable the selected jobs?"
"Are you sure you want to disable the selected jobs?","Are you sure you want to disable the selected jobs?"
"Are you sure you want to delete the selected jobs? Jobs still present in cron configuration will be re-created with default settings.","Are you sure you want to delete the selected jobs? Jobs still present in cron configuration will be re-created with default settings."
"Changes have been saved.","Changes have been saved."
"Please correct the data sent.","Please correct the data sent."
"""%1"" is not a valid cron expression.","""%1"" is not a valid cron expression."
"Invalid status value supplied.","Invalid status value supplied."
"%1 job(s) have been enabled.","%1 job(s) have been enabled."
"%1 job(s) have been disabled.","%1 job(s) have been disabled."
"%1 job(s) have been deleted.","%1 job(s) have been deleted."
"An error occurred while processing the selected jobs.","An error occurred while processing the selected jobs."
"No cron job exists with ID ""%1"".","No cron job exists with ID ""%1""."
"No cron job exists with code ""%1"".","No cron job exists with code ""%1""."
"Could not save the cron job: %1","Could not save the cron job: %1"
"Could not delete the cron job: %1","Could not delete the cron job: %1"
